user_id,user_name,user_location,user_friends_count,created_time,retweet_count,favourite_count,original_text
1196006710906884097,Sunny 2,USA ,1969,2020-03-09 16:52:59,86,0,"We don't eat #animals🐮
We don't wear them.
We don't kill them for fun.
We don't drink their growth liquid.
We don't want them to entertain us.
We don't pretend to know them.
We just know, we know enough to go #vegan💖 

@Protect_Wldlife @PeterEgan6 @Ivy_Middleton @RobRobbEdwards https://t.co/l5uJr5gxZ6"
1157450933321777152,Chef Edwin Anthony Rodriguez 🇵🇷,"Winston Salem, NC",2294,2020-03-09 16:52:57,20,0,"Chef thread 🔥🌱Had to start a thread I could participate in. 🍜
-
I’m CHEF E 👨🏽‍🍳 I’m from #Brooklyn, I’m #PuertoRican, &amp; I specialize in #Vegan food (but I can do it all). Currently based in N.C./ NYC. I do meal prep, private chef work, and catering 😌  DROP YOUR PICS BELOW ⬇️⬇️ https://t.co/ADDLJx9TEd"
325378889,Aliya Jackson,"Prince George, British Columbia",185,2020-03-09 16:52:52,0,0,What does your morning routine look like? What are the products you can’t do without it? These are my every day go-to favs! #arbonne #my30daystohealthyliving2020 #crueltyfree #vegan… https://t.co/akrsph20LS
19244127,Sherrill Barbary,"New Jersey, USA",1908,2020-03-09 16:52:52,86,0,"We don't eat #animals🐮
We don't wear them.
We don't kill them for fun.
We don't drink their growth liquid.
We don't want them to entertain us.
We don't pretend to know them.
We just know, we know enough to go #vegan💖 

@Protect_Wldlife @PeterEgan6 @Ivy_Middleton @RobRobbEdwards https://t.co/l5uJr5gxZ6"
48149273,A lovely bird,The Moon,2677,2020-03-09 16:52:34,61,0,"""The greatest privilege that comes with freedom of speech
is using your voice for those who don't have one"" @RickyGervais🙊📢
Our silence condemns #animals to suffer in silence too💔
Go #vegan💖 
@Protect_Wldlife @PeterEgan6 @Ivy_MiddletonUK @RobRobbEdwards @zbleumoon @Veganella_ https://t.co/v2qDMSevT8"
1196006710906884097,Sunny 2,USA ,1969,2020-03-09 16:52:32,36,0,"Seasonal Veg of the Day

 🌱🌱🌱🌱Beetroot!🌱🌱🌱🌱

There are so many reasons to love this vegetable. Read on! 

#vegan #MondayMorning #veggies 
#seasonal #Sustainability https://t.co/wkBr8ukgEj"
760216873208193024,Southern Belle Remix,"Texas, USA",431,2020-03-09 16:52:30,0,0,The cupcakes were a hot seller on yesterday! Which flavors should I bake for my next event? #southernbelleremix #glutenfree #dairyfree #vegan #cupcakes #plantbased @ Bridgeland https://t.co/cJ7Lcdbfow
77516870,DB Reviews - UK Lifestyle Blog,"England, United Kingdom",2205,2020-03-09 16:52:27,2,0,"""If you are looking for a cruelty-free and ethical fashion accessory for mum, the cross-body wristlet clutch from Live in the Light is an excellent choice"" - thanks @UKTrave11er for including us in your #mothersdaygift guide - 
https://t.co/LJa4BPEE8Z
#vegan #veganfashion https://t.co/BX5Vtkdq3r"
1188205760024633344,Regina,,138,2020-03-09 16:52:24,2,0,Huge #Vegan #Meatfree section in Tesco #Haslingden ....This is amazing #Vegan #Plantpowered #Vegan🌻🌱💚👌😋 https://t.co/ZDDDvYeP1Y
964188906152488962,Khomotso Fortunate,"Polokwane, South Africa",270,2020-03-09 16:52:16,3,0,"VEG CURRY 🥣
.
Here’s a meat-free favourite for you to try... use any veg &amp; change it up according to what’s seasonal. Serve topped with vegan coconut yoghurt to keep it completely vegan, otherwise regular plain yoghurt is a great too.
.
#zolanene #curry #veg #vegan #meatfree https://t.co/y00WDCImrl"
